a;1;NA;01/13/2020, 13:05:34;a;10;concentration;100;concentration 2;30
b;2;NA;01/13/2020, 13:05:36
c;3;NA;01/13/2020, 13:05:38
d;4;NA;01/13/2020, 13:05:40
e;5;NA;01/13/2020, 13:14:04;concentration;1000
f2;3;NA;01/13/2020, 13:26:08
fe ;10;NA;01/13/2020, 13:30:24
ge;100;NA;01/13/2020, 13:33:04
festerine;100;NA;01/13/2020, 13:33:39;concentration;100
festerine2;1000;NA;01/13/2020, 13:33:55
g;1;NA;01/13/2020, 13:34:03
abc;1;NA;01/13/2020, 13:34:43
abcde;1;NA;01/13/2020, 13:35:01
abcdtest;111;NA;01/13/2020, 13:35:28
concentration 2;30;NA;01/13/2020, 13:36:17


